date,covid_unscaled,covid_monthly,isPartial,scale,covid
2020-02-01,0,,,,
2020-02-02,0,0.0,False,0.0,0.0
2020-02-03,0,0.0,,0.0,0.0
2020-02-04,0,0.0,,0.0,0.0
2020-02-05,0,0.0,,0.0,0.0
2020-02-06,0,0.0,,0.0,0.0
2020-02-07,0,0.0,,0.0,0.0
2020-02-08,0,0.0,,0.0,0.0
2020-02-09,0,0.0,False,0.0,0.0
2020-02-10,0,0.0,,0.0,0.0
2020-02-11,5,0.0,,0.0,0.0
2020-02-12,10,0.0,,0.0,0.0
2020-02-13,30,0.0,,0.0,0.0
2020-02-14,28,0.0,,0.0,0.0
2020-02-15,18,0.0,,0.0,0.0
2020-02-16,17,0.0,False,0.0,0.0
2020-02-17,35,0.0,,0.0,0.0
2020-02-18,20,0.0,,0.0,0.0
2020-02-19,15,0.0,,0.0,0.0
2020-02-20,21,0.0,,0.0,0.0
2020-02-21,33,0.0,,0.0,0.0
2020-02-22,23,0.0,,0.0,0.0
2020-02-23,49,1.0,False,0.01,0.49
2020-02-24,78,1.0,,0.01,0.78
2020-02-25,74,1.0,,0.01,0.74
2020-02-26,69,1.0,,0.01,0.6900000000000001
2020-02-27,55,1.0,,0.01,0.55
2020-02-28,100,1.0,,0.01,1.0
2020-02-29,66,1.0,,0.01,0.66
2020-03-01,5,3.0,False,0.03,0.15
2020-03-02,5,3.0,,0.03,0.15
2020-03-03,5,3.0,,0.03,0.15
2020-03-04,7,3.0,,0.03,0.21
2020-03-05,7,3.0,,0.03,0.21
2020-03-06,6,3.0,,0.03,0.18
2020-03-07,8,3.0,,0.03,0.24
2020-03-08,7,7.0,False,0.07,0.49000000000000005
2020-03-09,8,7.0,,0.07,0.56
2020-03-10,13,7.0,,0.07,0.9100000000000001
2020-03-11,12,7.0,,0.07,0.8400000000000001
2020-03-12,21,7.0,,0.07,1.4700000000000002
2020-03-13,30,7.0,,0.07,2.1
2020-03-14,30,7.0,,0.07,2.1
2020-03-15,39,24.0,False,0.24,9.36
2020-03-16,53,24.0,,0.24,12.719999999999999
2020-03-17,59,24.0,,0.24,14.16
2020-03-18,52,24.0,,0.24,12.48
2020-03-19,61,24.0,,0.24,14.639999999999999
2020-03-20,68,24.0,,0.24,16.32
2020-03-21,68,24.0,,0.24,16.32
2020-03-22,99,38.0,False,0.38,37.62
2020-03-23,100,38.0,,0.38,38.0
2020-03-24,99,38.0,,0.38,37.62
2020-03-25,81,38.0,,0.38,30.78
2020-03-26,83,38.0,,0.38,31.54
2020-03-27,83,38.0,,0.38,31.54
2020-03-28,87,38.0,,0.38,33.06
2020-03-29,86,31.0,False,0.31,26.66
2020-03-30,72,31.0,,0.31,22.32
2020-03-31,72,31.0,,0.31,22.32
2020-04-01,94,31.0,,0.31,29.14
2020-04-02,94,31.0,,0.31,29.14
2020-04-03,94,31.0,,0.31,29.14
2020-04-04,97,31.0,,0.31,30.07
2020-04-05,97,26.0,False,0.26,25.220000000000002
2020-04-06,96,26.0,,0.26,24.96
2020-04-07,93,26.0,,0.26,24.18
2020-04-08,81,26.0,,0.26,21.060000000000002
2020-04-09,77,26.0,,0.26,20.02
2020-04-10,70,26.0,,0.26,18.2
2020-04-11,66,26.0,,0.26,17.16
2020-04-12,73,23.0,False,0.23,16.79
2020-04-13,79,23.0,,0.23,18.17
2020-04-14,76,23.0,,0.23,17.48
2020-04-15,77,23.0,,0.23,17.71
2020-04-16,78,23.0,,0.23,17.94
2020-04-17,58,23.0,,0.23,13.34
2020-04-18,57,23.0,,0.23,13.110000000000001
2020-04-19,67,18.0,False,0.18,12.059999999999999
2020-04-20,64,18.0,,0.18,11.52
2020-04-21,63,18.0,,0.18,11.34
2020-04-22,57,18.0,,0.18,10.26
2020-04-23,58,18.0,,0.18,10.44
2020-04-24,54,18.0,,0.18,9.719999999999999
2020-04-25,51,18.0,,0.18,9.18
2020-04-26,100,25.0,False,0.25,25.0
2020-04-27,100,25.0,,0.25,25.0
2020-04-28,77,25.0,,0.25,19.25
2020-04-29,70,25.0,,0.25,17.5
2020-04-30,58,25.0,,0.25,14.5
2020-05-01,100,25.0,,0.25,25.0
2020-05-02,83,25.0,,0.25,20.75
2020-05-03,87,19.0,False,0.19,16.53
2020-05-04,87,19.0,,0.19,16.53
2020-05-05,73,19.0,,0.19,13.870000000000001
2020-05-06,73,19.0,,0.19,13.870000000000001
2020-05-07,69,19.0,,0.19,13.11
2020-05-08,97,19.0,,0.19,18.43
2020-05-09,84,19.0,,0.19,15.96
2020-05-10,84,18.0,False,0.18,15.12
2020-05-11,86,18.0,,0.18,15.479999999999999
2020-05-12,71,18.0,,0.18,12.78
2020-05-13,69,18.0,,0.18,12.42
2020-05-14,68,18.0,,0.18,12.24
2020-05-15,70,18.0,,0.18,12.6
2020-05-16,71,18.0,,0.18,12.78
2020-05-17,67,16.0,False,0.16,10.72
2020-05-18,65,16.0,,0.16,10.4
2020-05-19,68,16.0,,0.16,10.88
2020-05-20,64,16.0,,0.16,10.24
2020-05-21,55,16.0,,0.16,8.8
2020-05-22,59,16.0,,0.16,9.44
2020-05-23,60,16.0,,0.16,9.6
2020-05-24,60,15.0,False,0.15,9.0
2020-05-25,62,15.0,,0.15,9.299999999999999
2020-05-26,68,15.0,,0.15,10.2
2020-05-27,66,15.0,,0.15,9.9
2020-05-28,62,15.0,,0.15,9.299999999999999
2020-05-29,56,15.0,,0.15,8.4
2020-05-30,52,15.0,,0.15,7.8
2020-05-31,63,14.0,False,0.14,8.82
2020-06-01,83,14.0,,0.14,11.620000000000001
2020-06-02,76,14.0,,0.14,10.64
2020-06-03,57,14.0,,0.14,7.98
2020-06-04,74,14.0,,0.14,10.360000000000001
2020-06-05,72,14.0,,0.14,10.080000000000002
2020-06-06,52,14.0,,0.14,7.280000000000001
2020-06-07,65,12.0,False,0.12,7.8
2020-06-08,74,12.0,,0.12,8.879999999999999
2020-06-09,70,12.0,,0.12,8.4
2020-06-10,61,12.0,,0.12,7.319999999999999
2020-06-11,79,12.0,,0.12,9.48
2020-06-12,59,12.0,,0.12,7.08
2020-06-13,64,12.0,,0.12,7.68
2020-06-14,78,13.0,False,0.13,10.14
2020-06-15,67,13.0,,0.13,8.71
2020-06-16,71,13.0,,0.13,9.23
2020-06-17,73,13.0,,0.13,9.49
2020-06-18,61,13.0,,0.13,7.930000000000001
2020-06-19,62,13.0,,0.13,8.06
2020-06-20,77,13.0,,0.13,10.01
2020-06-21,88,17.0,False,0.17,14.96
2020-06-22,89,17.0,,0.17,15.13
2020-06-23,81,17.0,,0.17,13.770000000000001
2020-06-24,88,17.0,,0.17,14.96
2020-06-25,94,17.0,,0.17,15.98
2020-06-26,81,17.0,,0.17,13.770000000000001
2020-06-27,89,17.0,,0.17,15.13
2020-06-28,100,18.0,False,0.18,18.0
2020-06-29,100,18.0,,0.18,18.0
2020-06-30,96,18.0,,0.18,17.28
2020-07-01,40,18.0,,0.18,7.199999999999999
2020-07-02,42,18.0,,0.18,7.56
2020-07-03,35,18.0,,0.18,6.3
2020-07-04,37,18.0,,0.18,6.66
2020-07-05,41,22.0,False,0.22,9.02
2020-07-06,49,22.0,,0.22,10.78
2020-07-07,61,22.0,,0.22,13.42
2020-07-08,54,22.0,,0.22,11.88
2020-07-09,47,22.0,,0.22,10.34
2020-07-10,53,22.0,,0.22,11.66
2020-07-11,45,22.0,,0.22,9.9
2020-07-12,62,34.0,False,0.34,21.080000000000002
2020-07-13,80,34.0,,0.34,27.200000000000003
2020-07-14,84,34.0,,0.34,28.560000000000002
2020-07-15,84,34.0,,0.34,28.560000000000002
2020-07-16,81,34.0,,0.34,27.540000000000003
2020-07-17,84,34.0,,0.34,28.560000000000002
2020-07-18,75,34.0,,0.34,25.500000000000004
2020-07-19,95,37.0,False,0.37,35.15
2020-07-20,100,37.0,,0.37,37.0
2020-07-21,89,37.0,,0.37,32.93
2020-07-22,92,37.0,,0.37,34.04
2020-07-23,79,37.0,,0.37,29.23
2020-07-24,77,37.0,,0.37,28.49
2020-07-25,64,37.0,,0.37,23.68
2020-07-26,70,36.0,False,0.36,25.2
2020-07-27,71,36.0,,0.36,25.56
2020-07-28,67,36.0,,0.36,24.119999999999997
2020-07-29,82,36.0,,0.36,29.52
2020-07-30,100,36.0,,0.36,36.0
2020-07-31,95,36.0,,0.36,34.199999999999996
2020-08-01,81,36.0,,0.36,29.16
2020-08-02,98,34.0,False,0.34,33.32
