date,content,source,theme,medium,date_released
2020-01-21,"NSW Health announced that it would assist
            Commonwealth Biosecurity staff at Sydney Airport to monitor travellers arriving
            from Wuhan. It also noted that nCoV-19 was a notifiable disease under the Public
            Health Act (NSW), and that procedures were in place for identifying cases
            and contact tracing should it become necessary.",NSW Ministry of Health NSW Health advice to travellers returning from Wuhan, China, media release, 21 January 2020.
2020-01-25,"NSW Health released information that five
            people were being tested for nCoV-19.",NSW Ministry of Health, Novel coronavirus statistics—11 am, media release, 25 January 2020.
2020-02-06,"NSW Health released a statement in
            response to concerns about nCoV-19 misinformation.",NSW Ministry of Health Be aware of the symptoms, be wary of false reports, media release, 6 February 2020.
2020-02-10,"The Minister for Health announced that a
            team of scientists and pathologists from NSW Health Pathology had
            successfully cultured the 
            SARS-CoV2 virus, which would support improved testing and research in NSW and
            around the world.",B Hazzard (NSW Minister for Health), NSW researchers breakthrough on coronavirus, media release, 10 February 2020.
2020-02-13,"NSW Health released an update on the four
            patients who had been diagnosed with 
            COVID-19 in NSW to date, stating that all four people had been discharged
            from hospital.",NSW Ministry of Health, Fourth coronavirus case in NSW now in the clear, media release, 13 February 2020.
2020-02-14,"NSW Health released a statement that it
            was assisting Australian Government agencies to undertake assessments for
            COVID-19 of travellers entering Australia who had been in China in the last
            14 days, including passengers arriving by cruise ship.",NSW Ministry of Health, Cruise ship in Sydney Harbour, media release, 14 February 2020.
2020-02-27,"The NSW Government requested that
            individuals and businesses take steps to prepare for a possible COVID-19
            pandemic converging with the winter flu season, including through
            implementing hygiene measures and businesses starting to review their
            continuity plans.",NSW Ministry of Health, Community urged to help prevent coronavirus, media release, 27 February 2020.
2020-03-03,"NSW Health advised that a 95-year-old
            woman died in hospital the night before. She was transferred to hospital from
            the Dorothy Henderson Lodge aged care facility at Macquarie Park after
            developing a respiratory illness.",NSW Ministry of Health, Nurse and resident diagnosed with COVID-19, media release, 4 March 2020.
2020-03-15,"The Minister for Health made an Order
            under the Public Health Act 2010 (NSW) to force the immediate
            cancellation of major events with more than 500 people.",B Hazzard (NSW Minister for Health), Special state powers triggered to combat COVID-19, media release, 15 March 2020.
2020-03-17,"The NSW Government announced a
            $2.3 billion health and economic stimulus package. The package had two
            parts: $700 million in extra health funding, and $1.6 billion in
            tax cuts. The health funding would support doubling ICU capacity, preparing
            for additional COVID-19 testing, purchasing additional equipment,
            establishing acute respiratory clinics and bringing forward elective
            surgeries to private hospitals.  The economic stimulus included waiving
            payroll tax for businesses with payrolls of up to $10 million for three
            months, bringing forward capital works and maintenance, and funding to employ
            additional cleaning staff for small businesses.",G Berejiklian (NSW Premier) D Perrottet (NSW Treasurer) and B Hazzard (NSW Minister for Health), $2.3 billion health boost and economic stimulus, media release, 17 March 2020.
2020-03-18,"The Minister for Health stated that the
            NSW Government supported the measures announced by the Prime Minister earlier
            that day, which included:  

a ban on non-essential indoor gatherings of 100 people or more
                (including staff) 
people only considering travel when it is essential
strict visitor rules for aged care facilities 
social distancing of 1.5 metres and

                lifting work restrictions on 20,000 student nurses so they can
                be engaged to assist with the response to the pandemic.",B Hazzard (NSW Minister for Health), Update COVID-19, media release, 18 March 2020.
2020-03-20,"NSW Health advised that four people on the
            cruise ship Ruby Princess had tested positive for COVID-19. The cruise
            ship had returned to Sydney from New Zealand the day before, at which point
            passengers had disembarked. All passengers and remaining crew had been
            advised to self-isolate for 14 days.",NSW Ministry of Health, Cruise ship passengers identified with COVID-19, media release, 20 March 2020.
